Student ID,First Name,Last Name,Grade,Section,Password,Gender,Date of Birth,Father Name,Mother Name,Phone,Aadhaar,Category,Address,Village,Mandal,District,State,Pincode,Hostel Status,Disabilities
STU0001,Mahesh,Rathod,8,B,,Male,2010-05-22,Anitha Rathod,Anitha Bai,9407168955,935426389723,ST,Govt Ashram School,Sirpur,Kerameri,Adilabad,Telangana,504311,Yes,
STU0002,Mahesh,Madavi,10,B,,Female,2013-09-23,Geetha Madavi,Geetha Bai,9764712465,229571486136,SC,Govt Ashram School,Indravelli,Indravelli,Adilabad,Telangana,504311,Yes,
STU0003,Pavan,Madavi,9,A,,Female,2013-06-16,Sunil Madavi,Pavan Bai,9187117644,307617551776,OBC,Govt Ashram School,Indravelli,Indravelli,Adilabad,Telangana,504311,Yes,
STU0004,Raju,Kumar,9,A,,Male,2014-06-27,Kiran Kumar,Lakshmi Bai,9718472440,363520780489,SC,Govt Ashram School,Sirpur,Utnoor,Adilabad,Telangana,504311,Yes,
STU0005,Pavan,Markam,6,B,,Female,2014-02-11,Sunil Markam,Pavan Bai,9546693175,595781816755,ST,Govt Ashram School,Kerameri,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0006,Sita,Kovvuri,8,B,,Female,2013-05-27,Ravi Kovvuri,Pavan Bai,9593320970,674570293214,OBC,Govt Ashram School,Indravelli,Jainoor,Adilabad,Telangana,504311,Yes,
STU0007,Kiran,Rathod,9,A,,Female,2011-07-12,Ravi Rathod,Anitha Bai,9783448093,259705867770,OBC,Govt Ashram School,Utnoor,Kerameri,Adilabad,Telangana,504311,Yes,
STU0008,Sunil,Tekam,6,B,,Female,2010-01-18,Mahesh Tekam,Anitha Bai,9439453001,971252945321,ST,Govt Ashram School,Utnoor,Indravelli,Adilabad,Telangana,504311,Yes,
STU0009,Geetha,Kumar,6,A,,Female,2013-01-16,Geetha Kumar,Geetha Bai,9794805974,424812940237,ST,Govt Ashram School,Sirpur,Indravelli,Adilabad,Telangana,504311,Yes,
STU0010,Ravi,Tekam,10,B,,Male,2012-03-24,Lakshmi Tekam,Raju Bai,9274872991,135479515246,SC,Govt Ashram School,Kerameri,Utnoor,Adilabad,Telangana,504311,Yes,
